iter	Logloss
324	0.6023681805
325	0.6023008767
326	0.6022357668
327	0.6021777897
328	0.6020959945
329	0.6020182493
330	0.6019599873
331	0.601914753
332	0.6018612501
333	0.6017751089
334	0.6017102034
335	0.6016552038
336	0.601605752
337	0.6015347041
338	0.6014898077
339	0.6014227821
340	0.6013685492
341	0.6012903155
342	0.6012237557
343	0.6011668443
344	0.6010862787
345	0.601043609
346	0.6009820767
347	0.6009061403
348	0.6008543354
349	0.6008021222
350	0.600743658
351	0.6006667843
352	0.6005899386
353	0.6005094931
354	0.6004564111
355	0.6004077734
356	0.6003464993
357	0.6002704874
358	0.6002000671
359	0.6001496692
360	0.6000891215
361	0.6000054396
362	0.5999433634
363	0.5999127328
364	0.5998753015
365	0.5998331516
366	0.599767212
367	0.5997022976
368	0.5996437438
369	0.5995727015
370	0.5995119028
371	0.5994446848
372	0.5993988632
373	0.5993397777
374	0.599301596
375	0.5992316473
376	0.5991703546
377	0.5991283039
378	0.5990644526
379	0.5990208534
380	0.5989506156
381	0.5989080535
382	0.5988481224
383	0.5988069168
384	0.5987570922
385	0.5987077993
386	0.5986403831
387	0.5985969489
388	0.5985470757
389	0.5984872751
390	0.5984216968
391	0.5983587536
392	0.5983075242
393	0.5982706958
394	0.5981996406
395	0.5981281672
396	0.5980561137
397	0.597994814
398	0.5979383181
399	0.5978952904
400	0.5978656741
401	0.5978097851
402	0.5977730749
403	0.5976938841
404	0.5976288149
405	0.5975650073
406	0.5974897284
407	0.5974449801
408	0.5973974624
409	0.597337876
410	0.5972591511
411	0.5972174706
412	0.5971997608
413	0.5971588595
414	0.5970767608
415	0.5970181967
416	0.5969702717
417	0.5969031066
418	0.5968375962
419	0.5967865946
420	0.5967435061
421	0.5966701525
422	0.5966363668
423	0.5965831706
424	0.596521811
425	0.5964765735
426	0.5964222258
427	0.5963613841
428	0.5963181222
429	0.5962753042
430	0.5962200688
431	0.5961729473
432	0.5961265892
433	0.5960757427
434	0.5960276287
435	0.5959738691
436	0.5959193186
437	0.5958687184
438	0.5958305115
439	0.5958083838
440	0.5957555518
441	0.59571586
442	0.5956781089
443	0.5956279882
444	0.5955813383
445	0.5955227087
446	0.595468056
447	0.595431748
448	0.5953891593
449	0.5953371626
450	0.5952821691
451	0.5952322018
452	0.5952022777
453	0.5951591786
454	0.5951066578
455	0.5950773182
456	0.5950280671
457	0.5949780023
458	0.5949353938
459	0.5948692352
460	0.5948348642
461	0.5947864547
462	0.5947399403
463	0.5946930232
464	0.5946232405
465	0.5945723935
466	0.5945190468
467	0.5944920246
468	0.5944589032
469	0.5944052326
470	0.5943600002
471	0.594312846
472	0.5942688137
473	0.5942200785
474	0.5941714422
475	0.5941276143
476	0.5940681416
477	0.5940258169
478	0.5939823948
479	0.5939355024
480	0.5938845544
481	0.5938446834
482	0.5937916516
483	0.5937301847
484	0.5936837514
485	0.5936638785
486	0.5936362994
487	0.5935923051
488	0.5935413813
489	0.5935021508
490	0.59345153
491	0.5934097063
492	0.5933686892
493	0.5933267597
494	0.5932856231
495	0.5932420989
496	0.5932088528
497	0.5931648614
498	0.5931124259
499	0.593061745
500	0.5930283951
501	0.5929861523
502	0.5929381111
503	0.5928973176
504	0.5928428169
505	0.5927967926
506	0.5927578633
507	0.5927173726
508	0.5926801671
509	0.5926140428
510	0.592564863
511	0.5925086192
512	0.5924544034
513	0.5924248769
514	0.592385279
515	0.5923404928
516	0.5922941676
517	0.592260601
518	0.5922147118
519	0.5921562412
520	0.5921187926
521	0.5920569643
522	0.5920090967
523	0.5919680023
524	0.5919223856
525	0.5918767709
526	0.5918424713
527	0.5918072621
528	0.5917574554
529	0.5917206099
530	0.5916712959
531	0.5916327544
532	0.5915870447
533	0.5915505529
