iter	Logloss
0	0.6886137869
1	0.684618721
2	0.6807610895
3	0.6772789902
4	0.6741424258
5	0.671350442
6	0.6685359729
7	0.6659858424
8	0.6639418519
9	0.6619001367
10	0.6597288063
11	0.6579821387
12	0.6561696617
13	0.6545243472
14	0.6530691823
15	0.6516977465
16	0.6502257376
17	0.6491129581
18	0.6480083927
19	0.6470926531
20	0.6461613495
21	0.6451517259
22	0.6441388165
23	0.6433610412
24	0.6424751805
25	0.6416468595
26	0.6409835053
27	0.6402330532
28	0.6395643988
29	0.638964965
30	0.6383234557
31	0.6377541796
32	0.6372484043
33	0.6368303912
34	0.6361535601
35	0.6355595109
36	0.6351302722
37	0.6347806269
38	0.6343370769
39	0.6339252876
40	0.6333149806
41	0.6329392378
42	0.6326113648
43	0.6320447513
44	0.6316627272
45	0.6313306
46	0.6310456536
47	0.6308043026
48	0.6304021033
49	0.6301235927
50	0.6297494407
51	0.6294491655
52	0.6291494392
53	0.6286925166
54	0.6283488254
55	0.6280679284
56	0.6277719439
57	0.6275837871
58	0.6273651872
59	0.6271527511
60	0.6269429668
61	0.6265824731
62	0.6263526731
63	0.6261193147
64	0.6259339039
65	0.625630944
66	0.6253308982
67	0.6251736646
68	0.6250116715
69	0.6248070548
70	0.6246126462
71	0.6244652668
72	0.6242510335
73	0.6240390202
74	0.6238813246
75	0.6236312773
76	0.6235224558
77	0.6233738006
78	0.6232577222
79	0.6229933884
80	0.622828662
81	0.6226285559
82	0.622531413
83	0.6223013653
84	0.6221817013
85	0.622074833
86	0.6218755079
87	0.6217231939
88	0.6215927238
89	0.6213579603
90	0.6212547833
91	0.6211725854
92	0.6210867795
93	0.620945131
94	0.6208108736
95	0.620648714
96	0.6205010851
97	0.6204133548
98	0.6202536461
99	0.6200797532
100	0.6199497281
101	0.6197975212
102	0.6196041776
103	0.6194578115
104	0.6192689518
105	0.6191477826
106	0.619048125
107	0.6189206807
108	0.6188358759
109	0.6186380408
110	0.6185407591
111	0.6183609662
112	0.6182663885
113	0.618061646
114	0.6179451049
115	0.6178477627
116	0.6176891805
117	0.6175679978
118	0.6174562361
119	0.6173454271
120	0.6172439313
121	0.6171474063
122	0.6169587015
123	0.6169091147
124	0.6167955183
125	0.6167040192
126	0.6165904629
127	0.6164755033
128	0.6163801871
129	0.6162508119
130	0.6160985429
131	0.6160306054
132	0.615925229
133	0.6158553677
134	0.6157179931
135	0.6155983202
136	0.6155198769
137	0.6154244974
138	0.6153374083
139	0.6152215416
140	0.6151404538
141	0.6150413626
142	0.614958022
143	0.6148748345
144	0.6147909972
145	0.6146964998
146	0.6146124029
147	0.6144970477
148	0.6143777979
149	0.6142695554
150	0.614163483
151	0.6140383679
152	0.6139268745
153	0.6138354891
154	0.6137693951
155	0.6136559156
156	0.6136056918
157	0.6135473007
158	0.6134788437
159	0.6134116087
160	0.613351558
161	0.6132662786
162	0.6131956478
163	0.6130958322
164	0.6130096436
165	0.6128989489
166	0.6128482715
167	0.6127642126
168	0.6126706223
169	0.6125786713
170	0.6125361307
171	0.6124573424
172	0.6124013849
173	0.6122607807
174	0.6122052703
175	0.6121156287
176	0.6120609576
177	0.6119816684
178	0.611907172
179	0.6118629926
180	0.611784368
181	0.6117135879
182	0.6116514921
183	0.6115602135
184	0.611466829
185	0.6114042948
186	0.611347713
187	0.6112865787
188	0.6111749488
189	0.6111297583
190	0.6110901182
191	0.6110268061
192	0.6109604173
193	0.6108310766
194	0.6107515849
195	0.6106735498
196	0.6106039049
197	0.6105459309
198	0.6104966887
199	0.6104209847
200	0.6103581051
201	0.6102727159
202	0.6102349228
203	0.6101651719
204	0.6100821466
205	0.6100247077
206	0.6099342954
207	0.6098444566
208	0.6097485848
209	0.6096742426
210	0.609594271
211	0.6095129663
212	0.6094458803
213	0.6093599108
214	0.6092885215
215	0.6092056554
216	0.6091681731
217	0.6091228238
218	0.6090379384
219	0.6089897436
220	0.608911928
221	0.6088568773
222	0.6087983916
223	0.6086952325
224	0.6086566889
225	0.6085952718
226	0.6085392846
227	0.6084352237
228	0.6083932254
229	0.6083055146
230	0.6082265143
231	0.6081848371
232	0.6081271684
233	0.608074548
234	0.6080396574
235	0.6079588558
236	0.607906334
237	0.6078585663
238	0.6078041725
239	0.6077187286
240	0.6076608971
241	0.6076112149
242	0.6075300925
243	0.6074860364
244	0.6074245202
245	0.6073690823
246	0.6072839077
247	0.6072235278
248	0.6071521857
249	0.607102433
250	0.6070753305
251	0.60699841
252	0.6069346797
253	0.6068771827
254	0.6068148157
255	0.606727015
256	0.6066586701
257	0.6066105371
258	0.6065631751
259	0.606477338
260	0.6064176658
261	0.6063532732
262	0.6062959067
263	0.6062376786
264	0.6061240865
265	0.6060386079
266	0.6059649499
267	0.6059151842
268	0.6058779249
269	0.6057673877
270	0.6057123671
271	0.6056618764
272	0.6056202577
273	0.6055752405
274	0.6055370191
275	0.6054685157
276	0.6054225327
277	0.6053582227
278	0.6052938971
279	0.6052442842
280	0.60518348
281	0.6051163907
282	0.6050525574
283	0.6049866436
284	0.604934129
285	0.6048854684
286	0.6048127303
287	0.6047441589
288	0.6046436909
289	0.6045913956
290	0.6045288346
291	0.6044278715
292	0.604344307
293	0.6042999437
294	0.6042362819
295	0.6041845238
296	0.604098274
297	0.6040443445
298	0.6039780848
299	0.6039276845
300	0.6038513892
301	0.6037811045
302	0.6037286222
303	0.6036560118
304	0.6035947151
305	0.6035631603
306	0.6035303359
307	0.6034486113
308	0.6033736797
309	0.6032980645
310	0.6032585472
311	0.6031973389
312	0.6031543779
313	0.6030876532
314	0.6030421933
315	0.6029800231
316	0.60292665
317	0.6028730736
318	0.6027762105
319	0.6027173393
320	0.6026600426
321	0.6025833305
322	0.6025348365
323	0.6024611046
